item,date,p_mean,p_75,p_median,p_25,iqr,ratio
Televsion 40' or greater,2021-09-01,526.2059,629,449,379,250,1.659630607
Top 10 Fiction paperpack,2021-09-01,6.994762,8.99,7.49,4.5,4.49,1.997777778
Computer Game 3,2021-10-01,40.95708,50,45,29.5,20.5,1.694915254
Home office desk,2021-10-01,375.2478,449,268.5,70,379,6.414285714
Televsion 40' or greater,2021-10-01,538.1365,599,429,399,200,1.501253133
Top 10 Fiction paperpack,2021-10-01,7.160374,8.99,8.99,5,3.99,1.798
Computer Game 3,2021-11-01,43.37167,49.995,49.99,36.995,13,1.351398838
Home office desk,2021-11-01,358.9134,399,199,70,329,5.7
Televsion 40' or greater,2021-11-01,498.0013,599,399.99,379,220,1.580474934
Top 10 Fiction paperpack,2021-11-01,7.033812,8.99,7.99,4.5,4.49,1.997777778
Computer Game 3,2021-12-01,46.67818,50,49.99,48,2,1.041666667
Home office desk,2021-12-01,348.0795,399,199,70,329,5.7
Televsion 40' or greater,2021-12-01,499.4114,549,399,329,220,1.668693009
Top 10 Fiction paperpack,2021-12-01,7.198108,8.99,7.49,5,3.99,1.798
Computer Game 3,2022-01-01,39.8396,48,35,34,14,1.411764706
Home office desk,2022-01-01,335.7483,359,199,85,274,4.223529412
Televsion 40' or greater,2022-01-01,485.3,529,379,329,200,1.607902736
Top 10 Fiction paperpack,2022-01-01,7.063272,8.99,7.49,4.5,4.49,1.997777778
Computer Game 3,2022-02-01,46.86136,50,49.99,48,2,1.041666667
Home office desk,2022-02-01,315.6973,359,199,85,274,4.223529412
Televsion 40' or greater,2022-02-01,472.5793,519.99,399,299,220.99,1.73909699
Top 10 Fiction paperpack,2022-02-01,7.11477,8.99,8.99,4.5,4.49,1.997777778
Computer Game 3,2022-03-01,50.43044,50,50,49.99,0.01,1.00020004
Home office desk,2022-03-01,302.2688,390,169,85,305,4.588235294
Televsion 40' or greater,2022-03-01,471.8141,460,399,319,141,1.44200627
Top 10 Fiction paperpack,2022-03-01,7.051284,8.99,7.99,5,3.99,1.798
Computer Game 3,2022-04-01,44.4313,50,49.99,35,15,1.428571429
Home office desk,2022-04-01,326.3563,419,199,85,334,4.929411765
Televsion 40' or greater,2022-04-01,441.814,460,349,299,161,1.538461538
Top 10 Fiction paperpack,2022-04-01,7.019401,8.99,7.49,5,3.99,1.798
Computer Game 3,2022-05-01,44.3,49.99,49.99,35,14.99,1.428285714
Home office desk,2022-05-01,330.9091,419,189,85,334,4.929411765
Televsion 40' or greater,2022-05-01,445.4073,469,329,279,190,1.681003584
Top 10 Fiction paperpack,2022-05-01,7.061982,8.99,8.99,5,3.99,1.798
Computer Game 3,2022-06-01,40.95391,49.99,43,35,14.99,1.428285714
Home office desk,2022-06-01,328.485,399,249.99,85,314,4.694117647
Televsion 40' or greater,2022-06-01,435.9063,539,339.495,269,270,2.003717472
Top 10 Fiction paperpack,2022-06-01,7.293408,8.99,8.99,4.5,4.49,1.997777778
Computer Game 3,2022-07-01,39.33292,50,41.5,22,28,2.272727273
Home office desk,2022-07-01,322.6328,399,199,90,309,4.433333333
Televsion 40' or greater,2022-07-01,446.738,579,399,289,290,2.003460208
